                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78264,                 1.0214,                 1.0942,                0.49284,                  0.375,                0.45583,                0.35075,                0.87051,                 4.3943,                 1.1046,             0.00021662,             0.00021662,             0.00021662
                     36,                0.80008,                 1.0227,                 1.1027,                0.39668,                0.48338,                 0.4725,                0.36323,                0.92779,                 4.3874,                 1.1186,             0.00020425,             0.00020425,             0.00020425
                     37,                0.76143,                 1.0055,                 1.0831,                0.49256,                  0.375,                 0.4725,                0.35639,                0.93579,                 4.6103,                 1.1203,             0.00019188,             0.00019188,             0.00019188
                     38,                 0.7565,                0.95043,                 1.0916,                0.49287,                  0.375,                  0.435,                0.34173,                0.94035,                 4.4994,                 1.1444,              0.0001795,              0.0001795,              0.0001795
                     39,                0.75236,                0.96819,                 1.0764,                0.49298,                  0.375,                0.44393,                0.33055,                 1.0772,                 4.2657,                 1.2154,             0.00016713,             0.00016713,             0.00016713
                     40,                0.76275,                0.98236,                 1.0782,                    0.5,                0.49341,                 0.4975,                0.34723,                 1.0657,                 4.4653,                 1.2073,             0.00015475,             0.00015475,             0.00015475
                     41,                0.60072,                0.85606,                0.98778,                0.49267,                  0.375,                  0.435,                0.32439,                 1.1051,                 4.3631,                 1.2165,             0.00014237,             0.00014237,             0.00014237
                     42,                0.58994,                0.79361,                0.96564,                0.49305,                  0.375,                0.44393,                0.30809,                 1.0428,                 4.7122,                 1.1639,                0.00013,                0.00013,                0.00013
                     43,                0.54815,                 0.7397,                0.95478,                0.49321,                  0.375,                0.45583,                0.35953,                0.96016,                 4.5112,                 1.1364,             0.00011763,             0.00011763,             0.00011763
                     44,                0.54879,                0.73887,                0.94694,                    0.5,                0.49261,                 0.4975,                0.34789,                 1.0188,                 4.3514,                 1.1714,             0.00010525,             0.00010525,             0.00010525
                     45,                0.52747,                0.71685,                0.93971,                    0.5,                0.49279,                 0.4975,                0.36538,                0.93804,                 4.4776,                 1.1284,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     46,                0.52204,                0.69006,                0.92245,                0.49297,                  0.375,                0.44393,                0.34392,                 1.0063,                  4.554,                 1.1743,               8.05e-05,               8.05e-05,               8.05e-05
                     47,                0.49751,                0.68575,                0.92623,                0.49299,                  0.375,                0.44393,                0.35079,                 0.9523,                 4.4291,                 1.1574,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     48,                0.49693,                0.67298,                0.91701,                0.49321,                  0.375,                0.44393,                0.35324,                0.96388,                 4.4655,                 1.1441,              5.575e-05,              5.575e-05,              5.575e-05
                     49,                0.48182,                0.66392,                0.90973,                0.49326,                  0.375,                  0.435,                0.35477,                 1.0119,                 4.4688,                 1.1813,             4.3375e-05,             4.3375e-05,             4.3375e-05
